BranchC,Build Time,Binary Size
00001,61.0735,9648880
00002,65.6735,10173424
00003,68.3485,9699272
00004,68.635,10199640
00005,68.54499999999999,10147616
00006,72.64150000000001,10201208
00007,57.0845,8464736
00008,59.41,8528944
00009,72.5755,10190120
00010,71.3555,10106296
00011,68.114,10215824
00012,68.57249999999999,10147616
00013,54.4455,8566104
00014,70.81649999999999,10075160
00015,62.49,8960648
00016,65.981,9986640
00017,67.8495,10123416
00018,58.8655,8656016
00019,72.43299999999999,10203840
00020,70.907,10084648
